Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2020/05/21,SPY,SPY,S,CBOE,415770
2020/05/22,SPY,SPY,S,CBOE,479795
2020/05/26,SPY,SPY,S,CBOE,642898
2020/05/27,SPY,SPY,S,CBOE,677107
2020/05/28,SPY,SPY,S,CBOE,698203
2020/05/29,SPY,SPY,S,CBOE,679430
2020/06/01,SPY,SPY,S,CBOE,440934
2020/06/02,SPY,SPY,S,CBOE,464882
2020/06/03,SPY,SPY,S,CBOE,738158
2020/06/04,SPY,SPY,S,CBOE,449702
2020/06/05,SPY,SPY,S,CBOE,951383
2020/06/08,SPY,SPY,S,CBOE,507819
2020/06/09,SPY,SPY,S,CBOE,399576
2020/06/10,SPY,SPY,S,CBOE,544389
2020/06/11,SPY,SPY,S,CBOE,1173642
2020/06/12,SPY,SPY,S,CBOE,1130489
2020/06/15,SPY,SPY,S,CBOE,738133
2020/06/16,SPY,SPY,S,CBOE,625852
2020/06/17,SPY,SPY,S,CBOE,492967
2020/06/18,SPY,SPY,S,CBOE,404528
2020/06/19,SPY,SPY,S,CBOE,771465
2020/06/22,SPY,SPY,S,CBOE,483102
2020/06/23,SPY,SPY,S,CBOE,332630
2020/06/24,SPY,SPY,S,CBOE,697855
2020/06/25,SPY,SPY,S,CBOE,441943
2020/06/26,SPY,SPY,S,CBOE,666657
2020/06/29,SPY,SPY,S,CBOE,440291
2020/06/30,SPY,SPY,S,CBOE,530629
2020/07/01,SPY,SPY,S,CBOE,403173
2020/07/02,SPY,SPY,S,CBOE,501950
2020/07/06,SPY,SPY,S,CBOE,364298
2020/07/07,SPY,SPY,S,CBOE,307893
2020/07/08,SPY,SPY,S,CBOE,383820
2020/07/09,SPY,SPY,S,CBOE,433081
2020/07/10,SPY,SPY,S,CBOE,492010
2020/07/13,SPY,SPY,S,CBOE,668007
2020/07/14,SPY,SPY,S,CBOE,519708
2020/07/15,SPY,SPY,S,CBOE,472680
2020/07/16,SPY,SPY,S,CBOE,281504
2020/07/17,SPY,SPY,S,CBOE,389042
2020/07/20,SPY,SPY,S,CBOE,290982
2020/07/21,SPY,SPY,S,CBOE,311428
2020/07/22,SPY,SPY,S,CBOE,321487
2020/07/23,SPY,SPY,S,CBOE,330108
2020/07/24,SPY,SPY,S,CBOE,369684
2020/07/27,SPY,SPY,S,CBOE,232828
2020/07/28,SPY,SPY,S,CBOE,187374
2020/07/29,SPY,SPY,S,CBOE,261238
2020/07/30,SPY,SPY,S,CBOE,277755
2020/07/31,SPY,SPY,S,CBOE,496692
2020/08/03,SPY,SPY,S,CBOE,322722
2020/08/04,SPY,SPY,S,CBOE,286519
2020/08/05,SPY,SPY,S,CBOE,307167
2020/08/06,SPY,SPY,S,CBOE,259765
2020/08/07,SPY,SPY,S,CBOE,315375
2020/08/10,SPY,SPY,S,CBOE,272557
2020/08/11,SPY,SPY,S,CBOE,391291
2020/08/12,SPY,SPY,S,CBOE,320481
2020/08/13,SPY,SPY,S,CBOE,357088
2020/08/14,SPY,SPY,S,CBOE,302998
2020/08/17,SPY,SPY,S,CBOE,216308
2020/08/18,SPY,SPY,S,CBOE,208489
2020/08/19,SPY,SPY,S,CBOE,334772
2020/08/20,SPY,SPY,S,CBOE,328258
2020/08/21,SPY,SPY,S,CBOE,320233
2020/08/24,SPY,SPY,S,CBOE,279313
2020/08/25,SPY,SPY,S,CBOE,201906
2020/08/26,SPY,SPY,S,CBOE,348244
2020/08/27,SPY,SPY,S,CBOE,363017
2020/08/28,SPY,SPY,S,CBOE,324628
2020/08/31,SPY,SPY,S,CBOE,296624
2020/09/01,SPY,SPY,S,CBOE,306827
2020/09/02,SPY,SPY,S,CBOE,516334
2020/09/03,SPY,SPY,S,CBOE,665273
2020/09/04,SPY,SPY,S,CBOE,760640
2020/09/08,SPY,SPY,S,CBOE,615007
2020/09/09,SPY,SPY,S,CBOE,429240
2020/09/10,SPY,SPY,S,CBOE,510755
2020/09/11,SPY,SPY,S,CBOE,437502
2020/09/14,SPY,SPY,S,CBOE,325196
2020/09/15,SPY,SPY,S,CBOE,257713
2020/09/16,SPY,SPY,S,CBOE,460696
2020/09/17,SPY,SPY,S,CBOE,506156
2020/09/18,SPY,SPY,S,CBOE,617266
2020/09/21,SPY,SPY,S,CBOE,773131
2020/09/22,SPY,SPY,S,CBOE,279862
2020/09/23,SPY,SPY,S,CBOE,579482
2020/09/24,SPY,SPY,S,CBOE,489428
2020/09/25,SPY,SPY,S,CBOE,520554
2020/09/28,SPY,SPY,S,CBOE,299231
2020/09/29,SPY,SPY,S,CBOE,216618
2020/09/30,SPY,SPY,S,CBOE,475614
2020/10/01,SPY,SPY,S,CBOE,354818
2020/10/02,SPY,SPY,S,CBOE,471583
2020/10/05,SPY,SPY,S,CBOE,334915
2020/10/06,SPY,SPY,S,CBOE,423982
2020/10/07,SPY,SPY,S,CBOE,388973
2020/10/08,SPY,SPY,S,CBOE,382413
2020/10/09,SPY,SPY,S,CBOE,532061
2020/10/12,SPY,SPY,S,CBOE,544560
2020/10/13,SPY,SPY,S,CBOE,267385
2020/10/14,SPY,SPY,S,CBOE,407411
2020/10/15,SPY,SPY,S,CBOE,319859
2020/10/16,SPY,SPY,S,CBOE,397211
2020/10/19,SPY,SPY,S,CBOE,434739
2020/10/20,SPY,SPY,S,CBOE,307183
2020/10/21,SPY,SPY,S,CBOE,339409
2020/10/22,SPY,SPY,S,CBOE,320373
2020/10/23,SPY,SPY,S,CBOE,314676
2020/10/26,SPY,SPY,S,CBOE,593906
2020/10/27,SPY,SPY,S,CBOE,242155
2020/10/28,SPY,SPY,S,CBOE,752223
2020/10/29,SPY,SPY,S,CBOE,468876
2020/10/30,SPY,SPY,S,CBOE,847920
2020/11/02,SPY,SPY,S,CBOE,606505
2020/11/03,SPY,SPY,S,CBOE,558485
2020/11/04,SPY,SPY,S,CBOE,788367
2020/11/05,SPY,SPY,S,CBOE,602354
2020/11/06,SPY,SPY,S,CBOE,537366
2020/11/09,SPY,SPY,S,CBOE,823899
2020/11/10,SPY,SPY,S,CBOE,549321
2020/11/11,SPY,SPY,S,CBOE,927090
2020/11/12,SPY,SPY,S,CBOE,582663
2020/11/13,SPY,SPY,S,CBOE,668804
2020/11/16,SPY,SPY,S,CBOE,578731
2020/11/17,SPY,SPY,S,CBOE,511842
2020/11/18,SPY,SPY,S,CBOE,616785
2020/11/19,SPY,SPY,S,CBOE,621398
2020/11/20,SPY,SPY,S,CBOE,595375
2020/11/23,SPY,SPY,S,CBOE,527669
2020/11/24,SPY,SPY,S,CBOE,581973
2020/11/25,SPY,SPY,S,CBOE,432672
2020/11/27,SPY,SPY,S,CBOE,330242
2020/11/30,SPY,SPY,S,CBOE,409128
2020/12/01,SPY,SPY,S,CBOE,541027
2020/12/02,SPY,SPY,S,CBOE,493723
2020/12/03,SPY,SPY,S,CBOE,466352
2020/12/04,SPY,SPY,S,CBOE,490310
2020/12/07,SPY,SPY,S,CBOE,410913
2020/12/08,SPY,SPY,S,CBOE,423507
2020/12/09,SPY,SPY,S,CBOE,733563
2020/12/10,SPY,SPY,S,CBOE,443256
2020/12/11,SPY,SPY,S,CBOE,736675
2020/12/14,SPY,SPY,S,CBOE,641815
2020/12/15,SPY,SPY,S,CBOE,536300
2020/12/16,SPY,SPY,S,CBOE,549869
2020/12/17,SPY,SPY,S,CBOE,436262
2020/12/18,SPY,SPY,S,CBOE,635455
2020/12/21,SPY,SPY,S,CBOE,603353
2020/12/22,SPY,SPY,S,CBOE,315818
2020/12/23,SPY,SPY,S,CBOE,386748
2020/12/24,SPY,SPY,S,CBOE,258204
2020/12/28,SPY,SPY,S,CBOE,475535
2020/12/29,SPY,SPY,S,CBOE,555831
2020/12/30,SPY,SPY,S,CBOE,440625
2020/12/31,SPY,SPY,S,CBOE,508550
2021/01/04,SPY,SPY,S,CBOE,856000
2021/01/05,SPY,SPY,S,CBOE,498428
2021/01/06,SPY,SPY,S,CBOE,811907
2021/01/07,SPY,SPY,S,CBOE,552883
2021/01/08,SPY,SPY,S,CBOE,861299
2021/01/11,SPY,SPY,S,CBOE,603107
2021/01/12,SPY,SPY,S,CBOE,560873
2021/01/13,SPY,SPY,S,CBOE,581976
2021/01/14,SPY,SPY,S,CBOE,475297
2021/01/15,SPY,SPY,S,CBOE,954788
2021/01/19,SPY,SPY,S,CBOE,614240
2021/01/20,SPY,SPY,S,CBOE,845178
2021/01/21,SPY,SPY,S,CBOE,539167
2021/01/22,SPY,SPY,S,CBOE,516551
2021/01/25,SPY,SPY,S,CBOE,604842
2021/01/26,SPY,SPY,S,CBOE,371142
2021/01/27,SPY,SPY,S,CBOE,903827
2021/01/28,SPY,SPY,S,CBOE,645918
2021/01/29,SPY,SPY,S,CBOE,1153023
2021/02/01,SPY,SPY,S,CBOE,619986
2021/02/02,SPY,SPY,S,CBOE,621500
2021/02/03,SPY,SPY,S,CBOE,540955
2021/02/04,SPY,SPY,S,CBOE,509910
2021/02/05,SPY,SPY,S,CBOE,764608
2021/02/08,SPY,SPY,S,CBOE,710303
2021/02/09,SPY,SPY,S,CBOE,445707
2021/02/10,SPY,SPY,S,CBOE,745018
2021/02/11,SPY,SPY,S,CBOE,528021
2021/02/12,SPY,SPY,S,CBOE,560798
2021/02/16,SPY,SPY,S,CBOE,579465
2021/02/17,SPY,SPY,S,CBOE,575227
2021/02/18,SPY,SPY,S,CBOE,615929
2021/02/19,SPY,SPY,S,CBOE,647874
2021/02/22,SPY,SPY,S,CBOE,507850
2021/02/23,SPY,SPY,S,CBOE,707406
2021/02/24,SPY,SPY,S,CBOE,631469
2021/02/25,SPY,SPY,S,CBOE,740842
2021/02/26,SPY,SPY,S,CBOE,828769
2021/03/01,SPY,SPY,S,CBOE,660122
2021/03/02,SPY,SPY,S,CBOE,493156
2021/03/03,SPY,SPY,S,CBOE,663756
2021/03/04,SPY,SPY,S,CBOE,823880
2021/03/05,SPY,SPY,S,CBOE,910984
2021/03/08,SPY,SPY,S,CBOE,606167
2021/03/09,SPY,SPY,S,CBOE,513977
2021/03/10,SPY,SPY,S,CBOE,580285
2021/03/11,SPY,SPY,S,CBOE,523055
2021/03/12,SPY,SPY,S,CBOE,538361
2021/03/15,SPY,SPY,S,CBOE,492261
2021/03/16,SPY,SPY,S,CBOE,511491
2021/03/17,SPY,SPY,S,CBOE,610854
2021/03/18,SPY,SPY,S,CBOE,398613
2021/03/19,SPY,SPY,S,CBOE,630511
2021/03/22,SPY,SPY,S,CBOE,403037
2021/03/23,SPY,SPY,S,CBOE,540379
2021/03/24,SPY,SPY,S,CBOE,698963
2021/03/25,SPY,SPY,S,CBOE,692571
2021/03/26,SPY,SPY,S,CBOE,764414
2021/03/29,SPY,SPY,S,CBOE,795504
2021/03/30,SPY,SPY,S,CBOE,441395
2021/03/31,SPY,SPY,S,CBOE,623070
2021/04/01,SPY,SPY,S,CBOE,535156
2021/04/05,SPY,SPY,S,CBOE,690643
2021/04/06,SPY,SPY,S,CBOE,439529
2021/04/07,SPY,SPY,S,CBOE,488121
2021/04/08,SPY,SPY,S,CBOE,411406
2021/04/09,SPY,SPY,S,CBOE,542985
2021/04/12,SPY,SPY,S,CBOE,556611
2021/04/13,SPY,SPY,S,CBOE,431813
2021/04/14,SPY,SPY,S,CBOE,573940
2021/04/15,SPY,SPY,S,CBOE,513608
2021/04/16,SPY,SPY,S,CBOE,603783
2021/04/19,SPY,SPY,S,CBOE,639360
2021/04/20,SPY,SPY,S,CBOE,601488
2021/04/21,SPY,SPY,S,CBOE,460047
2021/04/22,SPY,SPY,S,CBOE,656293
2021/04/23,SPY,SPY,S,CBOE,683198
2021/04/26,SPY,SPY,S,CBOE,448336
2021/04/27,SPY,SPY,S,CBOE,310460
2021/04/28,SPY,SPY,S,CBOE,430598
2021/04/29,SPY,SPY,S,CBOE,450328
2021/04/30,SPY,SPY,S,CBOE,337945
2021/05/03,SPY,SPY,S,CBOE,442255
2021/05/04,SPY,SPY,S,CBOE,546780
2021/05/05,SPY,SPY,S,CBOE,458963
2021/05/06,SPY,SPY,S,CBOE,487870
2021/05/07,SPY,SPY,S,CBOE,618374
2021/05/10,SPY,SPY,S,CBOE,595297
2021/05/11,SPY,SPY,S,CBOE,635052
2021/05/12,SPY,SPY,S,CBOE,814838
2021/05/13,SPY,SPY,S,CBOE,583439
2021/05/14,SPY,SPY,S,CBOE,603507
2021/05/17,SPY,SPY,S,CBOE,489362
2021/05/18,SPY,SPY,S,CBOE,379158
2021/05/19,SPY,SPY,S,CBOE,833545
2021/05/20,SPY,SPY,S,CBOE,547491
2021/05/21,SPY,SPY,S,CBOE,664408
2021/05/24,SPY,SPY,S,CBOE,502341
2021/05/25,SPY,SPY,S,CBOE,453144
2021/05/26,SPY,SPY,S,CBOE,438913
2021/05/27,SPY,SPY,S,CBOE,335395
2021/05/28,SPY,SPY,S,CBOE,443472
2021/06/01,SPY,SPY,S,CBOE,436942
2021/06/02,SPY,SPY,S,CBOE,487641
2021/06/03,SPY,SPY,S,CBOE,366243
2021/06/04,SPY,SPY,S,CBOE,525391
2021/06/07,SPY,SPY,S,CBOE,321587
2021/06/08,SPY,SPY,S,CBOE,400826
2021/06/09,SPY,SPY,S,CBOE,365429
2021/06/10,SPY,SPY,S,CBOE,480652
2021/06/11,SPY,SPY,S,CBOE,404061
2021/06/14,SPY,SPY,S,CBOE,331791
2021/06/15,SPY,SPY,S,CBOE,306749
2021/06/16,SPY,SPY,S,CBOE,532086
2021/06/17,SPY,SPY,S,CBOE,442888
2021/06/18,SPY,SPY,S,CBOE,767181
2021/06/21,SPY,SPY,S,CBOE,552800
2021/06/22,SPY,SPY,S,CBOE,407619
2021/06/23,SPY,SPY,S,CBOE,368379
2021/06/24,SPY,SPY,S,CBOE,366817
2021/06/25,SPY,SPY,S,CBOE,451728
2021/06/28,SPY,SPY,S,CBOE,510378
2021/06/29,SPY,SPY,S,CBOE,299452
2021/06/30,SPY,SPY,S,CBOE,376777
2021/07/01,SPY,SPY,S,CBOE,367232
2021/07/02,SPY,SPY,S,CBOE,556867
2021/07/06,SPY,SPY,S,CBOE,655624
2021/07/07,SPY,SPY,S,CBOE,581885
2021/07/08,SPY,SPY,S,CBOE,674629
2021/07/09,SPY,SPY,S,CBOE,711591
2021/07/12,SPY,SPY,S,CBOE,606476
2021/07/13,SPY,SPY,S,CBOE,666021
2021/07/14,SPY,SPY,S,CBOE,684419
2021/07/15,SPY,SPY,S,CBOE,592413
2021/07/16,SPY,SPY,S,CBOE,794928
2021/07/19,SPY,SPY,S,CBOE,1058524
2021/07/20,SPY,SPY,S,CBOE,595247
2021/07/21,SPY,SPY,S,CBOE,421714
2021/07/22,SPY,SPY,S,CBOE,351846
2021/07/23,SPY,SPY,S,CBOE,651102
2021/07/26,SPY,SPY,S,CBOE,415950
2021/07/27,SPY,SPY,S,CBOE,392181
2021/07/28,SPY,SPY,S,CBOE,339109
2021/07/29,SPY,SPY,S,CBOE,493382
2021/07/30,SPY,SPY,S,CBOE,630840
2021/08/02,SPY,SPY,S,CBOE,519605
2021/08/03,SPY,SPY,S,CBOE,493851
2021/08/04,SPY,SPY,S,CBOE,429578
2021/08/05,SPY,SPY,S,CBOE,307898
2021/08/06,SPY,SPY,S,CBOE,462428
2021/08/09,SPY,SPY,S,CBOE,405529
2021/08/10,SPY,SPY,S,CBOE,325117
2021/08/11,SPY,SPY,S,CBOE,477955
2021/08/12,SPY,SPY,S,CBOE,369494
2021/08/13,SPY,SPY,S,CBOE,393595
2021/08/16,SPY,SPY,S,CBOE,567512
2021/08/17,SPY,SPY,S,CBOE,772064
2021/08/18,SPY,SPY,S,CBOE,716213
2021/08/19,SPY,SPY,S,CBOE,824335
2021/08/20,SPY,SPY,S,CBOE,599139
2021/08/23,SPY,SPY,S,CBOE,599746
2021/08/24,SPY,SPY,S,CBOE,390314
2021/08/25,SPY,SPY,S,CBOE,471765
2021/08/26,SPY,SPY,S,CBOE,688430
2021/08/27,SPY,SPY,S,CBOE,660345
2021/08/30,SPY,SPY,S,CBOE,585370
2021/08/31,SPY,SPY,S,CBOE,426192
2021/09/01,SPY,SPY,S,CBOE,466189
2021/09/02,SPY,SPY,S,CBOE,439101
2021/09/03,SPY,SPY,S,CBOE,540903
2021/09/07,SPY,SPY,S,CBOE,554742
2021/09/08,SPY,SPY,S,CBOE,686191
2021/09/09,SPY,SPY,S,CBOE,534551
2021/09/10,SPY,SPY,S,CBOE,866031
2021/09/13,SPY,SPY,S,CBOE,798375
2021/09/14,SPY,SPY,S,CBOE,661530
2021/09/15,SPY,SPY,S,CBOE,774774
2021/09/16,SPY,SPY,S,CBOE,544139
2021/09/17,SPY,SPY,S,CBOE,1009569
2021/09/20,SPY,SPY,S,CBOE,1256344
2021/09/21,SPY,SPY,S,CBOE,627824
2021/09/22,SPY,SPY,S,CBOE,773577
2021/09/23,SPY,SPY,S,CBOE,665527
2021/09/24,SPY,SPY,S,CBOE,622542
2021/09/27,SPY,SPY,S,CBOE,574727
2021/09/28,SPY,SPY,S,CBOE,900774
2021/09/29,SPY,SPY,S,CBOE,680631
2021/09/30,SPY,SPY,S,CBOE,909635
2021/10/01,SPY,SPY,S,CBOE,947078
2021/10/04,SPY,SPY,S,CBOE,871966
2021/10/05,SPY,SPY,S,CBOE,587130
2021/10/06,SPY,SPY,S,CBOE,942765
2021/10/07,SPY,SPY,S,CBOE,759648
2021/10/08,SPY,SPY,S,CBOE,767128
2021/10/11,SPY,SPY,S,CBOE,773377
2021/10/12,SPY,SPY,S,CBOE,581089
2021/10/13,SPY,SPY,S,CBOE,698254
2021/10/14,SPY,SPY,S,CBOE,704256
2021/10/15,SPY,SPY,S,CBOE,859189
2021/10/18,SPY,SPY,S,CBOE,625284
2021/10/19,SPY,SPY,S,CBOE,613249
2021/10/20,SPY,SPY,S,CBOE,698381
2021/10/21,SPY,SPY,S,CBOE,483320
2021/10/22,SPY,SPY,S,CBOE,948244
2021/10/25,SPY,SPY,S,CBOE,633300
2021/10/26,SPY,SPY,S,CBOE,669063
2021/10/27,SPY,SPY,S,CBOE,664393
2021/10/28,SPY,SPY,S,CBOE,522029
2021/10/29,SPY,SPY,S,CBOE,758397
2021/11/01,SPY,SPY,S,CBOE,627594
2021/11/02,SPY,SPY,S,CBOE,429948
2021/11/03,SPY,SPY,S,CBOE,602118
2021/11/04,SPY,SPY,S,CBOE,568665
2021/11/05,SPY,SPY,S,CBOE,962420
2021/11/08,SPY,SPY,S,CBOE,627057
2021/11/09,SPY,SPY,S,CBOE,490795
2021/11/10,SPY,SPY,S,CBOE,829944
2021/11/11,SPY,SPY,S,CBOE,383345
2021/11/12,SPY,SPY,S,CBOE,659619
2021/11/15,SPY,SPY,S,CBOE,545952
2021/11/16,SPY,SPY,S,CBOE,484293
2021/11/17,SPY,SPY,S,CBOE,624838
2021/11/18,SPY,SPY,S,CBOE,463288
2021/11/19,SPY,SPY,S,CBOE,672461
2021/11/22,SPY,SPY,S,CBOE,872881
2021/11/23,SPY,SPY,S,CBOE,689164
2021/11/24,SPY,SPY,S,CBOE,654329
2021/11/26,SPY,SPY,S,CBOE,818248
2021/11/29,SPY,SPY,S,CBOE,750040
2021/11/30,SPY,SPY,S,CBOE,790373
2021/12/01,SPY,SPY,S,CBOE,1125406
2021/12/02,SPY,SPY,S,CBOE,695641
2021/12/03,SPY,SPY,S,CBOE,1169906
2021/12/06,SPY,SPY,S,CBOE,714863
2021/12/07,SPY,SPY,S,CBOE,774719
2021/12/08,SPY,SPY,S,CBOE,553764
2021/12/09,SPY,SPY,S,CBOE,488322
2021/12/10,SPY,SPY,S,CBOE,676857
2021/12/13,SPY,SPY,S,CBOE,595179
2021/12/14,SPY,SPY,S,CBOE,556986
2021/12/15,SPY,SPY,S,CBOE,926955
2021/12/16,SPY,SPY,S,CBOE,614223
2021/12/17,SPY,SPY,S,CBOE,715651
2021/12/20,SPY,SPY,S,CBOE,812115
2021/12/21,SPY,SPY,S,CBOE,741972
2021/12/22,SPY,SPY,S,CBOE,794712
2021/12/23,SPY,SPY,S,CBOE,751156
2021/12/27,SPY,SPY,S,CBOE,911187
2021/12/28,SPY,SPY,S,CBOE,716750
2021/12/29,SPY,SPY,S,CBOE,575722
2021/12/30,SPY,SPY,S,CBOE,608979
2021/12/31,SPY,SPY,S,CBOE,651865
2022/01/03,SPY,SPY,S,CBOE,524244
2022/01/04,SPY,SPY,S,CBOE,508903
2022/01/05,SPY,SPY,S,CBOE,711584
2022/01/06,SPY,SPY,S,CBOE,625544
2022/01/07,SPY,SPY,S,CBOE,641829
2022/01/10,SPY,SPY,S,CBOE,955651
2022/01/11,SPY,SPY,S,CBOE,660474
2022/01/12,SPY,SPY,S,CBOE,767396
2022/01/13,SPY,SPY,S,CBOE,691914
2022/01/14,SPY,SPY,S,CBOE,809514
2022/01/18,SPY,SPY,S,CBOE,853706
2022/01/19,SPY,SPY,S,CBOE,784301
2022/01/20,SPY,SPY,S,CBOE,803060
2022/01/21,SPY,SPY,S,CBOE,1369414
2022/01/24,SPY,SPY,S,CBOE,1383500
2022/01/25,SPY,SPY,S,CBOE,883761
2022/01/26,SPY,SPY,S,CBOE,994782
2022/01/27,SPY,SPY,S,CBOE,845362
2022/01/28,SPY,SPY,S,CBOE,1110772
2022/01/31,SPY,SPY,S,CBOE,945504
2022/02/01,SPY,SPY,S,CBOE,717299
2022/02/02,SPY,SPY,S,CBOE,887975
2022/02/03,SPY,SPY,S,CBOE,706701
2022/02/04,SPY,SPY,S,CBOE,891383
2022/02/07,SPY,SPY,S,CBOE,738652
2022/02/08,SPY,SPY,S,CBOE,700650
2022/02/09,SPY,SPY,S,CBOE,818541
2022/02/10,SPY,SPY,S,CBOE,797051
2022/02/11,SPY,SPY,S,CBOE,1132970
2022/02/14,SPY,SPY,S,CBOE,898977
2022/02/15,SPY,SPY,S,CBOE,567818
2022/02/16,SPY,SPY,S,CBOE,713691
2022/02/17,SPY,SPY,S,CBOE,637377
2022/02/18,SPY,SPY,S,CBOE,973035
2022/02/22,SPY,SPY,S,CBOE,989763
2022/02/23,SPY,SPY,S,CBOE,1064077
2022/02/24,SPY,SPY,S,CBOE,1045299
2022/02/25,SPY,SPY,S,CBOE,1232247
2022/02/28,SPY,SPY,S,CBOE,901580
2022/03/01,SPY,SPY,S,CBOE,686617
2022/03/02,SPY,SPY,S,CBOE,780078
2022/03/03,SPY,SPY,S,CBOE,721781
2022/03/04,SPY,SPY,S,CBOE,780669
2022/03/07,SPY,SPY,S,CBOE,865086
2022/03/08,SPY,SPY,S,CBOE,860095
2022/03/09,SPY,SPY,S,CBOE,791668
2022/03/10,SPY,SPY,S,CBOE,653346
2022/03/11,SPY,SPY,S,CBOE,713275
2022/03/14,SPY,SPY,S,CBOE,779791
2022/03/15,SPY,SPY,S,CBOE,552494
2022/03/16,SPY,SPY,S,CBOE,817854
